Test run for C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll (.NETCoreApp,Version=v8.0)
A total of 1 test files matched the specified pattern.
C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll
[xUnit.net 00:00:00.00] xUnit.net VSTest Adapter v2.8.2+699d445a1a (64-bit .NET 8.0.24)
[xUnit.net 00:00:01.52]   Discovering: Hamlet.RadioEngine.Tests
[xUnit.net 00:00:01.70]   Discovered:  Hamlet.RadioEngine.Tests
[xUnit.net 00:00:01.70]   Starting:    Hamlet.RadioEngine.Tests
[xUnit.net 00:00:03.74]   Finished:    Hamlet.RadioEngine.Tests
  Passed Hamlet.RadioEngine.Tests.Cw.TheEightRedsTests.GroupASpeed [2 s]
  Standard Output Messages:
 A | #41 3.50 s | text 3 | last-wpm 10.00 | wpm 10 | reacquiring False | retunes 1 | follows 1 | since 3.75 s | tone 625
 A | #41 3.75 s | text 3 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 1 | follows 1 | since 4.00 s | tone 625
 A | #41 4.00 s | text 3 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 1 | follows 1 | since 4.25 s | tone 625
 A | #41 4.25 s | text 4 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 1 | follows 1 | since 4.50 s | tone 625
 A | #41 4.50 s | text 4 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 1 | follows 1 | since 4.75 s | tone 625
 A | #41 4.75 s | text 5 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 1 | follows 1 | since 5.00 s | tone 625
 A | #41 5.00 s | text 5 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 1 | follows 1 | since 5.25 s | tone 625
 A | #41 5.25 s | text 5 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 1 | follows 1 | since 5.50 s | tone 625
 A | #41 5.50 s | text 5 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 1 | follows 1 | since 5.75 s | tone 625
 A | #41 5.75 s | text 5 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 1 | follows 1 | since 6.00 s | tone 625
 A | #41 6.00 s | text 5 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 1 | follows 1 | since 6.25 s | tone 625
 A | #41 6.25 s | text 6 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 1 | follows 1 | since 6.50 s | tone 625
 A | #41 6.50 s | text 6 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 1 | follows 1 | since 6.75 s | tone 625
 A | #41 6.75 s | text 6 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 1 | follows 1 | since 7.00 s | tone 625
 A | #41 7.00 s | text 6 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 1 | follows 1 | since 7.25 s | tone 625
 A | #41 7.25 s | text 6 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 1 | follows 1 | since 7.50 s | tone 625
 A | #41 7.50 s | text 6 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 1 | follows 1 | since 7.75 s | tone 625
 A | #41 7.75 s | text 6 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 1 | follows 1 | since 8.00 s | tone 625
 A | #41 8.00 s | text 6 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 1 | follows 1 | since 8.25 s | tone 625
 A | #41 8.25 s | text 8 | last-wpm 11.16 | wpm 11 | reacquiring False | retunes 1 | follows 1 | since 8.50 s | tone 625
 A | #41 8.50 s | text 8 | last-wpm 11.16 | wpm 11 | reacquiring False | retunes 1 | follows 1 | since 8.75 s | tone 625
 A | #41 8.75 s | text 8 | last-wpm 11.16 | wpm 11 | reacquiring False | retunes 1 | follows 1 | since 9.00 s | tone 625
 A | #41 9.00 s | text 8 | last-wpm 11.16 | wpm 11 | reacquiring False | retunes 1 | follows 1 | since 9.25 s | tone 625
 A | #41 9.25 s | text 8 | last-wpm 11.16 | wpm 11 | reacquiring False | retunes 1 | follows 1 | since 9.50 s | tone 625
 A | #41 9.50 s | text 8 | last-wpm 11.16 | wpm 11 | reacquiring False | retunes 2 | follows 2 | since 9.75 s | tone 600
 A | #41 9.75 s | text 9 | last-wpm 11.16 | wpm 11 | reacquiring False | retunes 2 | follows 2 | since 10.00 s | tone 600
 A | #41 10.00 s | text 9 | last-wpm 11.16 | wpm 11 | reacquiring False | retunes 2 | follows 2 | since 10.25 s | tone 600
 A | #41 10.25 s | text 11 | last-wpm 11.16 | wpm 11 | reacquiring False | retunes 2 | follows 2 | since 10.50 s | tone 600
 A | #41 10.50 s | text 11 | last-wpm 11.16 | wpm 11 | reacquiring False | retunes 2 | follows 2 | since 10.75 s | tone 600
 A | #41 10.75 s | text 11 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 2 | follows 2 | since 11.00 s | tone 600
 A | #41 11.00 s | text 11 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 2 | follows 2 | since 11.25 s | tone 600
 A | #41 11.25 s | text 12 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 2 | follows 2 | since 11.50 s | tone 600
 A | #41 11.50 s | text 12 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 2 | follows 2 | since 11.75 s | tone 600
 A | #41 11.75 s | text 12 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 2 | follows 2 | since 12.00 s | tone 600
 A | #41 12.00 s | text 12 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 2 | follows 2 | since 12.25 s | tone 600
 A | #41 12.25 s | text 12 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 2 | follows 2 | since 12.50 s | tone 600
 A | #41 12.50 s | text 12 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 2 | follows 2 | since 12.75 s | tone 600
 A | #41 12.75 s | text 11 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 2 | follows 2 | since 13.00 s | tone 600
 A | #41 13.00 s | text 11 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 2 | follows 2 | since 13.25 s | tone 600
 A | #41 13.25 s | text 11 | last-wpm 10.67 | wpm 11 | reacquiring False | retunes 2 | follows 2 | since 13.50 s | tone 600
 A | #41 13.50 s | text 11 | last-wpm 10.67 | wpm 11 | reacquiring False | retunes 2 | follows 2 | since 13.75 s | tone 600
 A | #41 13.75 s | text 12 | last-wpm 10.67 | wpm 11 | reacquiring False | retunes 2 | follows 2 | since 14.00 s | tone 600
 A | #41 14.00 s | text 12 | last-wpm 10.67 | wpm 11 | reacquiring False | retunes 2 | follows 2 | since 14.25 s | tone 600
 A | #41 14.25 s | text 11 | last-wpm 10.67 | wpm 11 | reacquiring False | retunes 2 | follows 2 | since 14.50 s | tone 600
 A | #41 14.50 s | text 11 | last-wpm 10.67 | wpm 11 | reacquiring False | retunes 2 | follows 2 | since 14.75 s | tone 600
 A | #41 14.75 s | text 11 | last-wpm 10.43 | wpm 10 | reacquiring False | retunes 2 | follows 2 | since 15.00 s | tone 600
 A | #41 15.00 s | text 11 | last-wpm 10.43 | wpm 10 | reacquiring False | retunes 2 | follows 2 | since 15.25 s | tone 600
 A | #41 15.25 s | text 12 | last-wpm 10.67 | wpm 11 | reacquiring False | retunes 2 | follows 2 | since 15.50 s | tone 600
 A | #41 15.50 s | text 12 | last-wpm 10.67 | wpm 11 | reacquiring False | retunes 2 | follows 2 | since 15.75 s | tone 600
 A | #41 15.75 s | text 11 | last-wpm 10.67 | wpm 11 | reacquiring False | retunes 2 | follows 2 | since 16.00 s | tone 600
 A | #41 16.00 s | text 11 | last-wpm 10.67 | wpm 11 | reacquiring False | retunes 3 | follows 3 | since 16.25 s | tone 625
 A | #41 16.25 s | text 11 | last-wpm 10.67 | wpm 11 | reacquiring False | retunes 3 | follows 3 | since 16.50 s | tone 625
 A | #41 16.50 s | text 11 | last-wpm 10.67 | wpm 11 | reacquiring False | retunes 3 | follows 3 | since 16.75 s | tone 625
 A | #41 16.75 s | text 11 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 3 | follows 3 | since 17.00 s | tone 625
 A | #41 17.00 s | text 11 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 3 | follows 3 | since 17.25 s | tone 625
 A | #41 17.25 s | text 12 | last-wpm 11.16 | wpm 11 | reacquiring False | retunes 3 | follows 3 | since 17.50 s | tone 625
 A | #41 17.50 s | text 12 | last-wpm 11.16 | wpm 11 | reacquiring False | retunes 3 | follows 3 | since 17.75 s | tone 625
 A | #41 17.75 s | text 11 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 3 | follows 3 | since 18.00 s | tone 625
 A | #41 18.00 s | text 11 | last-wpm 10.91 | wpm 11 | reacquiring False | retunes 3 | follows 3 | since 18.25 s | tone 625
 A | #41 18.25 s | text 11 | last-wpm 10.67 | wpm 11 | reacquiring False | retunes 3 | follows 3 | since 18.50 s | tone 625
 A | #41 18.50 s | text 11 | last-wpm 10.67 | wpm 11 | reacquiring False | retunes 3 | follows 3 | since 18.75 s | tone 625
 A | #41 18.75 s | text 12 | last-wpm 10.43 | wpm 10 | reacquiring False | retunes 3 | follows 3 | since 19.00 s | tone 625
 A | #41 19.00 s | text 12 | last-wpm 10.43 | wpm 10 | reacquiring False | retunes 3 | follows 3 | since 19.25 s | tone 625
 A | #41 19.25 s | text 13 | last-wpm 10.43 | wpm 10 | reacquiring False | retunes 3 | follows 3 | since 19.50 s | tone 625
 A | #41 19.50 s | text 13 | last-wpm 10.43 | wpm 10 | reacquiring False | retunes 3 | follows 3 | since 19.75 s | tone 625
 A | #41 19.75 s | text 11 | last-wpm 10.67 | wpm 11 | reacquiring False | retunes 3 | follows 3 | since 20.00 s | tone 625
 A | #41 20.00 s | text 11 | last-wpm 10.67 | wpm 11 | reacquiring False | retunes 3 | follows 3 | since 20.25 s | tone 625
 A | #41 20.25 s | text 11 | last-wpm 10.67 | wpm 11 | reacquiring False | retunes 3 | follows 3 | since 20.50 s | tone 625
 A | #41 20.50 s | text 11 | last-wpm 10.67 | wpm 11 | reacquiring False | retunes 3 | follows 3 | since 20.75 s | tone 625
 A | #41 20.75 s | text 12 | last-wpm 10.67 | wpm 11 | reacquiring False | retunes 3 | follows 3 | since 21.00 s | tone 625
 A | #41 21.00 s | text 12 | last-wpm 10.67 | wpm 11 | reacquiring False | retunes 3 | follows 3 | since 21.25 s | tone 625
 A | #41 21.25 s | text 11 | last-wpm 10.67 | wpm 11 | reacquiring False | retunes 3 | follows 3 | since 21.50 s | tone 625
