tests/Hamlet.App.Tests/ViewModels/ASheetSaysWhichInstrumentSpokeTests.cs | CwCountsCover | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/AutoCallFaceTests.cs | CwMessage | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/CaseRosterSurvivesAnEveningTests.cs | CwCase | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/CaseRosterSurvivesAnEveningTests.cs | CwCaseRoster | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/CaseRosterSurvivesAnEveningTests.cs | CwCharacter | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/CaseRosterSurvivesAnEveningTests.cs | CwCountsCover | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/CaseRosterSurvivesAnEveningTests.cs | CwDecoder | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/DummyLoadNoticeTests.cs | TransmitNotes | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/ScannerFaceTests.cs | CwCharacter | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/ScannerFaceTests.cs | CwConfidence | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/ScannerFaceTests.cs | MorseAlphabet | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/SendButtonEnablementTests.cs | CwMessage | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/SendButtonEnablementTests.cs | CwReadiness | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/SendButtonEnablementTests.cs | CwReadyState | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/SendButtonEnablementTests.cs | CwSendOutcome | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/SendButtonEnablementTests.cs | CwSendResult | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/SendButtonEnablementTests.cs | CwTransmitter | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/SendButtonEnablementTests.cs | ICwSender | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/SendButtonEnablementTests.cs | TransmitContext | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/SendGuardTests.cs | ContactStage | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/SendGuardTests.cs | CwDuration | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/SendGuardTests.cs | CwMessage | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/SendGuardTests.cs | CwSendOutcome | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/SendGuardTests.cs | CwSendResult | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/SendGuardTests.cs | CwTransmitter | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/SendGuardTests.cs | ICwSender | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/SendGuardTests.cs | SendOption | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/SendGuardTests.cs | TransmitContext | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/SendLengthIsLegibleTests.cs | ContactStage | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/SendLengthIsLegibleTests.cs | CwDuration | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/SendLengthIsLegibleTests.cs | SendOption | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/SentTextNeverEntersTheReceivedStreamTests.cs | CwCharacter | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/SentTextNeverEntersTheReceivedStreamTests.cs | CwDecoder | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/SentTextNeverEntersTheReceivedStreamTests.cs | CwMessage | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/SentTextNeverEntersTheReceivedStreamTests.cs | CwProbabilisticStream | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/TheSpanRatioReachesTheSidecarTests.cs | CwCharacter | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/TheSpanRatioReachesTheSidecarTests.cs | CwConfidence | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/TheSpanRatioReachesTheSidecarTests.cs | MorseAlphabet | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/TwoStageTranscriptTests.cs | CwCharacter | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/TwoStageTranscriptTests.cs | CwConfidence | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/TwoStageTranscriptTests.cs | CwReadingStage | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/UnresolvedLicenseTests.cs | TransmitContext | type there | missing: none
tests/Hamlet.App.Tests/Views/HistoryRecedesAndCurrentCopyDoesNotTests.cs | CwCharacter | type there | missing: none
tests/Hamlet.App.Tests/Views/HistoryRecedesAndCurrentCopyDoesNotTests.cs | CwConfidence | type there | missing: none
tests/Hamlet.App.Tests/Views/ThePitchControlsAreOffThePanelTests.cs | CwDecoder | type there | missing: AssertAt AssertStation PitchWasAsserted
