Test run for C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll (.NETCoreApp,Version=v8.0)
A total of 1 test files matched the specified pattern.
C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll
[xUnit.net 00:00:00.00] xUnit.net VSTest Adapter v2.8.2+699d445a1a (64-bit .NET 8.0.24)
[xUnit.net 00:00:00.06]   Discovering: Hamlet.RadioEngine.Tests
[xUnit.net 00:00:00.23]   Discovered:  Hamlet.RadioEngine.Tests
[xUnit.net 00:00:00.24]   Starting:    Hamlet.RadioEngine.Tests
[xUnit.net 00:04:18.39]   Finished:    Hamlet.RadioEngine.Tests
  Passed Hamlet.RadioEngine.Tests.Cw.WhatPitchTheDecoderIsOnTests.OnEveryCaptureInTheTree [4 m 18 s]
  Standard Output Messages:
 window | unadjudicated/cw-2026-08-18-003016 | 4 to 6 s | instrument 668.6 | tracker 670.0 | mix 670.0 | measured 1.00 | err +1.4 | swing 24.1 dB | keyed 1.06 s
 window | unadjudicated/cw-2026-08-18-003016 | 5 to 7 s | instrument 668.8 | tracker 670.0 | mix 670.0 | measured 1.00 | err +1.2 | swing 27.4 dB | keyed 1.08 s
 window | unadjudicated/cw-2026-08-18-003016 | 6 to 8 s | instrument 668.2 | tracker 670.0 | mix 670.0 | measured 1.00 | err +1.8 | swing 30.1 dB | keyed 0.89 s
 window | unadjudicated/cw-2026-08-18-003016 | 7 to 9 s | instrument 668.7 | tracker 670.0 | mix 670.0 | measured 1.00 | err +1.3 | swing 32.9 dB | keyed 0.91 s
 window | unadjudicated/cw-2026-08-18-003016 | 8 to 10 s | instrument 669.3 | tracker 670.0 | mix 670.0 | measured 1.00 | err +0.7 | swing 30.9 dB | keyed 1.02 s
 window | unadjudicated/cw-2026-08-18-003016 | 9 to 11 s | instrument 668.8 | tracker 670.0 | mix 670.0 | measured 1.00 | err +1.2 | swing 31.0 dB | keyed 1.17 s
 window | unadjudicated/cw-2026-08-18-003016 | 10 to 12 s | instrument 668.7 | tracker 670.0 | mix 670.0 | measured 1.00 | err +1.3 | swing 34.6 dB | keyed 0.80 s
 window | unadjudicated/cw-2026-08-18-003016 | 11 to 13 s | instrument 667.5 | tracker 675.0 | mix 675.0 | measured 1.00 | err +7.5 | swing 29.2 dB | keyed 0.48 s
 window | unadjudicated/cw-2026-08-18-003016 | 12 to 14 s | instrument 669.0 | tracker 675.0 | mix 675.0 | measured 1.00 | err +6.0 | swing 28.5 dB | keyed 0.55 s
 window | unadjudicated/cw-2026-08-18-003016 | 13 to 15 s | instrument 668.5 | tracker 675.0 | mix 675.0 | measured 1.00 | err +6.5 | swing 27.0 dB | keyed 0.85 s
 window | unadjudicated/cw-2026-08-18-003016 | 14 to 16 s | instrument 669.0 | tracker 675.0 | mix 675.0 | measured 1.00 | err +6.0 | swing 27.6 dB | keyed 0.84 s
 window | unadjudicated/cw-2026-08-18-003016 | 15 to 17 s | instrument 668.7 | tracker 675.0 | mix 675.0 | measured 1.00 | err +6.3 | swing 31.2 dB | keyed 0.89 s
 window | unadjudicated/cw-2026-08-18-003016 | 16 to 18 s | instrument 668.8 | tracker 675.0 | mix 675.0 | measured 1.00 | err +6.2 | swing 33.9 dB | keyed 1.01 s
 window | unadjudicated/cw-2026-08-18-003016 | 17 to 19 s | instrument 668.3 | tracker 675.0 | mix 675.0 | measured 1.00 | err +6.7 | swing 32.9 dB | keyed 0.97 s
 window | unadjudicated/cw-2026-08-18-003016 | 18 to 20 s | instrument 668.7 | tracker 670.0 | mix 670.0 | measured 1.00 | err +1.3 | swing 33.4 dB | keyed 1.05 s
 window | unadjudicated/cw-2026-08-18-003016 | 19 to 21 s | instrument 668.7 | tracker 670.0 | mix 670.0 | measured 1.00 | err +1.3 | swing 32.4 dB | keyed 1.17 s
 window | unadjudicated/cw-2026-08-18-003016 | 20 to 22 s | instrument 668.8 | tracker 670.0 | mix 670.0 | measured 1.00 | err +1.2 | swing 31.0 dB | keyed 1.05 s
 window | unadjudicated/cw-2026-08-18-003016 | 21 to 23 s | instrument 668.6 | tracker 665.0 | mix 665.0 | measured 1.00 | err -3.6 | swing 30.3 dB | keyed 0.72 s
 window | unadjudicated/cw-2026-08-18-003016 | 22 to 24 s | instrument 668.1 | tracker 650.0 | mix 650.0 | measured 1.00 | err -18.1 | swing 31.1 dB | keyed 0.65 s
 window | unadjudicated/cw-2026-08-18-003016 | 23 to 25 s | instrument 669.0 | tracker 650.0 | mix 650.0 | measured 1.00 | err -19.0 | swing 29.2 dB | keyed 0.90 s
 window | unadjudicated/cw-2026-08-18-003016 | 24 to 26 s | instrument 668.4 | tracker 650.0 | mix 650.0 | measured 1.00 | err -18.4 | swing 27.7 dB | keyed 0.96 s
 window | unadjudicated/cw-2026-08-18-003016 | 25 to 27 s | instrument 668.7 | tracker 675.0 | mix 675.0 | measured 1.00 | err +6.3 | swing 28.5 dB | keyed 0.98 s
 window | unadjudicated/cw-2026-08-18-003016 | 26 to 28 s | instrument 669.0 | tracker 675.0 | mix 675.0 | measured 1.00 | err +6.0 | swing 29.4 dB | keyed 0.95 s
 window | unadjudicated/cw-2026-08-18-003016 | 27 to 29 s | instrument 668.9 | tracker 670.0 | mix 670.0 | measured 1.00 | err +1.1 | swing 29.8 dB | keyed 0.84 s
 window | unadjudicated/cw-2026-08-18-003016 | 28 to 30 s | instrument 668.9 | tracker 670.0 | mix 670.0 | measured 1.00 | err +1.1 | swing 29.0 dB | keyed 0.91 s
 window | unadjudicated/cw-2026-08-18-003126 | 0 to 2 s | instrument 669.0 | tracker 600.0 | mix 600.0 | measured 0.00 | err -69.0 | swing 35.2 dB | keyed 1.08 s | >25
 window | unadjudicated/cw-2026-08-18-003126 | 1 to 3 s | instrument 669.0 | tracker 600.0 | mix 600.0 | measured 0.00 | err -69.0 | swing 37.3 dB | keyed 0.86 s | >25
 window | unadjudicated/cw-2026-08-18-003126 | 2 to 4 s | instrument 669.8 | tracker 675.0 | mix 675.0 | measured 0.00 | err +5.2 | swing 35.5 dB | keyed 0.49 s
 window | unadjudicated/cw-2026-08-18-003126 | 3 to 5 s | instrument 669.0 | tracker 675.0 | mix 675.0 | measured 0.00 | err +6.0 | swing 35.3 dB | keyed 0.58 s
 window | unadjudicated/cw-2026-08-18-003126 | 4 to 6 s | instrument 668.7 | tracker 675.0 | mix 675.0 | measured 0.49 | err +6.3 | swing 31.3 dB | keyed 0.89 s
 window | unadjudicated/cw-2026-08-18-003126 | 5 to 7 s | instrument 669.1 | tracker 680.0 | mix 680.0 | measured 0.99 | err +10.9 | swing 29.3 dB | keyed 1.05 s
 window | unadjudicated/cw-2026-08-18-003126 | 6 to 8 s | instrument 668.5 | tracker 675.0 | mix 675.0 | measured 1.00 | err +6.5 | swing 27.6 dB | keyed 0.92 s
 window | unadjudicated/cw-2026-08-18-003126 | 7 to 9 s | instrument 668.2 | tracker 675.0 | mix 675.0 | measured 1.00 | err +6.8 | swing 26.1 dB | keyed 0.79 s
 window | unadjudicated/cw-2026-08-18-003126 | 8 to 10 s | instrument 669.0 | tracker 675.0 | mix 675.0 | measured 1.00 | err +6.0 | swing 27.4 dB | keyed 0.86 s
 window | unadjudicated/cw-2026-08-18-003126 | 9 to 11 s | instrument 669.5 | tracker 670.0 | mix 670.0 | measured 1.00 | err +0.5 | swing 28.6 dB | keyed 1.00 s
 window | unadjudicated/cw-2026-08-18-003126 | 10 to 12 s | instrument 668.8 | tracker 670.0 | mix 670.0 | measured 1.00 | err +1.2 | swing 30.1 dB | keyed 0.96 s
 window | unadjudicated/cw-2026-08-18-003126 | 11 to 13 s | instrument 669.0 | tracker 670.0 | mix 670.0 | measured 1.00 | err +1.0 | swing 29.9 dB | keyed 1.00 s
 window | unadjudicated/cw-2026-08-18-003126 | 12 to 14 s | instrument 669.1 | tracker 670.0 | mix 670.0 | measured 1.00 | err +0.9 | swing 29.4 dB | keyed 0.91 s
 window | unadjudicated/cw-2026-08-18-003126 | 13 to 15 s | instrument 669.3 | tracker 670.0 | mix 670.0 | measured 1.00 | err +0.7 | swing 33.2 dB | keyed 0.80 s
 window | unadjudicated/cw-2026-08-18-003126 | 14 to 16 s | instrument 669.0 | tracker 670.0 | mix 670.0 | measured 1.00 | err +1.0 | swing 33.2 dB | keyed 1.02 s
 window | unadjudicated/cw-2026-08-18-003126 | 15 to 17 s | instrument 669.6 | tracker 670.0 | mix 670.0 | measured 1.00 | err +0.4 | swing 31.7 dB | keyed 1.10 s
 window | unadjudicated/cw-2026-08-18-003126 | 16 to 18 s | instrument 669.1 | tracker 670.0 | mix 670.0 | measured 1.00 | err +0.9 | swing 33.0 dB | keyed 0.97 s
 window | unadjudicated/cw-2026-08-18-003126 | 17 to 19 s | instrument 669.2 | tracker 670.0 | mix 670.0 | measured 1.00 | err +0.8 | swing 32.9 dB | keyed 1.10 s
 window | unadjudicated/cw-2026-08-18-003126 | 18 to 20 s | instrument 669.1 | tracker 670.0 | mix 670.0 | measured 1.00 | err +0.9 | swing 33.1 dB | keyed 1.14 s
